query-id	corpus-id	score
trec-202117	NCT02895425	2
trec-20214	NCT00004260	1
trec-20218	NCT01576588	1
trec-202117	NCT01063907	1
trec-202117	NCT03795597	1
trec-20214	NCT03721848	2
trec-20214	NCT00894608	2
trec-20214	NCT00489502	2
trec-20218	NCT03054896	2
trec-202111	NCT00375180	2
trec-202115	NCT03858192	2
trec-202115	NCT01921452	2
trec-202117	NCT01022905	2
trec-202117	NCT00005536	2
trec-202117	NCT03702309	2
trec-202117	NCT02574676	2
trec-202117	NCT04364724	2
trec-202125	NCT02514837	2
trec-202125	NCT02666261	2
trec-202125	NCT01042548	2
trec-202125	NCT00898937	2
trec-202125	NCT03718442	2
trec-202131	NCT01213459	2
trec-202131	NCT03452774	2
trec-202131	NCT01671462	2
trec-202131	NCT04000503	2
trec-202131	NCT01178736	2
trec-202161	NCT03107234	2
trec-20214	NCT00005985	1
trec-20218	NCT02251548	1
trec-20218	NCT00391066	1
trec-20218	NCT02160015	1
trec-202111	NCT00001730	1
trec-202111	NCT00084435	1
trec-202115	NCT03028181	1
trec-202115	NCT00059826	1
trec-202115	NCT03146091	1
trec-202115	NCT02399800	1
trec-202115	NCT02478892	1
trec-202115	NCT01673945	1
trec-202117	NCT00961467	1
trec-202117	NCT00718601	1
trec-202117	NCT01114282	1
trec-202117	NCT01858558	1
trec-202117	NCT00577668	1
trec-202117	NCT02020941	1
trec-202117	NCT04094961	1
trec-202117	NCT00948922	1
trec-202125	NCT01275677	1
trec-202125	NCT03870620	1
trec-202131	NCT02481414	1
trec-202131	NCT02253719	1
trec-202131	NCT04026620	1
trec-202161	NCT03349177	1
trec-202161	NCT02326857	1
trec-202161	NCT04425018	1
trec-202161	NCT03238495	1
trec-202161	NCT02199418	1
trec-202161	NCT01897441	1
trec-202161	NCT00005970	1
trec-20216	NCT03562741	2
trec-202131	NCT03404310	2
trec-202146	NCT01381757	2
trec-202148	NCT00691184	2
trec-202162	NCT04326842	2
trec-202163	NCT04739891	2
trec-202169	NCT00347529	2
trec-202174	NCT00403598	2
trec-20211	NCT00003537	1
trec-20212	NCT00269165	1
trec-20212	NCT04722796	1
trec-20216	NCT02502682	1
trec-202114	NCT02347111	1
trec-202115	NCT01515150	1
trec-202115	NCT00699166	1
trec-202115	NCT01964430	1
trec-202117	NCT00080405	1
trec-202117	NCT00240162	1
trec-202120	NCT00171886	1
trec-202130	NCT00531713	1
trec-202133	NCT00798226	1
trec-202136	NCT04737681	1
trec-202145	NCT03664830	1
trec-202150	NCT03291678	1
trec-202164	NCT00148837	1
trec-202165	NCT02084407	1
trec-202165	NCT02218268	1
trec-202171	NCT02405949	1
trec-202171	NCT00311987	1
trec-202175	NCT01550484	1
trec-20214	NCT01022905	2
trec-20215	NCT02962154	2
trec-20215	NCT02854826	2
trec-20216	NCT00005536	2
trec-20217	NCT03306498	2
trec-20219	NCT03244345	2
trec-202116	NCT02060799	2
trec-202122	NCT03521011	2
trec-202129	NCT04129424	2
trec-202131	NCT01505751	2
trec-202134	NCT03033082	2
trec-202139	NCT03423472	2
trec-202139	NCT02612207	2
trec-202141	NCT00001252	2
trec-202141	NCT00736671	2
trec-202146	NCT04345939	2
trec-202153	NCT04205851	2
trec-202155	NCT04065022	2
trec-202156	NCT03309319	2
trec-202158	NCT02730585	2
trec-202162	NCT01958294	2
trec-202164	NCT00707850	2
trec-202170	NCT01683019	2
trec-20215	NCT01240356	1
trec-20217	NCT00811967	1
trec-202118	NCT02886143	1
trec-202119	NCT03819504	1
trec-202119	NCT04642963	1
trec-202122	NCT02731924	1
trec-202123	NCT04264377	1
trec-202123	NCT04467190	1
trec-202124	NCT00465101	1
trec-202125	NCT03947736	1
trec-202125	NCT00323479	1
trec-202126	NCT02803788	1
trec-202130	NCT00498238	1
trec-202132	NCT02047162	1
trec-202133	NCT04087239	1
trec-202136	NCT00593138	1
trec-202136	NCT03279432	1
trec-202136	NCT01010841	1
trec-202137	NCT00242268	1
trec-202137	NCT02222948	1
trec-202142	NCT03028883	1
trec-202145	NCT04055818	1
trec-202147	NCT01220739	1
trec-202147	NCT00283088	1
trec-202150	NCT03041935	1
trec-202152	NCT00257374	1
trec-202156	NCT00616642	1
trec-202157	NCT01376414	1
trec-202157	NCT01946984	1
trec-202160	NCT04561505	1
trec-202164	NCT01355107	1
trec-202165	NCT03179280	1
trec-202170	NCT00641108	1
trec-202171	NCT02400359	1
trec-202175	NCT02358876	1
trec-202175	NCT02894567	1
trec-20216	NCT01570634	1
trec-202115	NCT01900327	1
trec-202151	NCT04686318	1
trec-202152	NCT02823899	1
